year,city,country,avg_temp
1857,Maputo,Mozambique,20.37
1858,Maputo,Mozambique,20.69
1859,Maputo,Mozambique,20.78
1860,Maputo,Mozambique,20.95
1861,Maputo,Mozambique,20.68
1862,Maputo,Mozambique,20.28
1863,Maputo,Mozambique,20.73
1864,Maputo,Mozambique,20.69
1865,Maputo,Mozambique,20.98
1866,Maputo,Mozambique,20.93
1867,Maputo,Mozambique,21.05
1868,Maputo,Mozambique,20.73
1869,Maputo,Mozambique,21.05
1870,Maputo,Mozambique,20.74
1871,Maputo,Mozambique,20.80
1872,Maputo,Mozambique,20.81
1873,Maputo,Mozambique,20.55
1874,Maputo,Mozambique,20.89
1875,Maputo,Mozambique,20.56
1876,Maputo,Mozambique,20.59
1877,Maputo,Mozambique,21.07
1878,Maputo,Mozambique,21.07
1879,Maputo,Mozambique,20.58
1880,Maputo,Mozambique,21.02
1881,Maputo,Mozambique,20.83
1882,Maputo,Mozambique,20.58
1883,Maputo,Mozambique,20.80
1884,Maputo,Mozambique,20.49
1885,Maputo,Mozambique,20.75
1886,Maputo,Mozambique,20.90
1887,Maputo,Mozambique,20.48
1888,Maputo,Mozambique,20.99
1889,Maputo,Mozambique,21.41
1890,Maputo,Mozambique,20.95
1891,Maputo,Mozambique,20.83
1892,Maputo,Mozambique,21.15
1893,Maputo,Mozambique,20.61
1894,Maputo,Mozambique,20.60
1895,Maputo,Mozambique,20.91
1896,Maputo,Mozambique,21.36
1897,Maputo,Mozambique,20.95
1898,Maputo,Mozambique,20.41
1899,Maputo,Mozambique,20.58
1900,Maputo,Mozambique,21.20
1901,Maputo,Mozambique,20.69
1902,Maputo,Mozambique,20.77
1903,Maputo,Mozambique,20.92
1904,Maputo,Mozambique,20.59
1905,Maputo,Mozambique,20.80
1906,Maputo,Mozambique,20.64
1907,Maputo,Mozambique,20.46
1908,Maputo,Mozambique,20.93
1909,Maputo,Mozambique,21.67
1910,Maputo,Mozambique,20.22
1911,Maputo,Mozambique,20.58
1912,Maputo,Mozambique,21.20
1913,Maputo,Mozambique,21.37
1914,Maputo,Mozambique,21.39
1915,Maputo,Mozambique,20.99
1916,Maputo,Mozambique,21.08
1917,Maputo,Mozambique,20.54
1918,Maputo,Mozambique,20.78
1919,Maputo,Mozambique,20.94
1920,Maputo,Mozambique,21.18
1921,Maputo,Mozambique,20.88
1922,Maputo,Mozambique,21.31
1923,Maputo,Mozambique,21.49
1924,Maputo,Mozambique,20.48
1925,Maputo,Mozambique,21.14
1926,Maputo,Mozambique,21.24
1927,Maputo,Mozambique,21.17
1928,Maputo,Mozambique,21.23
1929,Maputo,Mozambique,21.14
1930,Maputo,Mozambique,20.90
1931,Maputo,Mozambique,21.29
1932,Maputo,Mozambique,21.30
1933,Maputo,Mozambique,21.19
1934,Maputo,Mozambique,21.36
1935,Maputo,Mozambique,20.51
1936,Maputo,Mozambique,20.72
1937,Maputo,Mozambique,21.14
1938,Maputo,Mozambique,21.27
1939,Maputo,Mozambique,20.75
1940,Maputo,Mozambique,21.48
1941,Maputo,Mozambique,22.09
1942,Maputo,Mozambique,21.46
1943,Maputo,Mozambique,21.02
1944,Maputo,Mozambique,21.46
1945,Maputo,Mozambique,21.11
1946,Maputo,Mozambique,21.47
1947,Maputo,Mozambique,21.45
1948,Maputo,Mozambique,21.38
1949,Maputo,Mozambique,21.26
1950,Maputo,Mozambique,21.34
1951,Maputo,Mozambique,20.97
1952,Maputo,Mozambique,21.52
1953,Maputo,Mozambique,21.09
1954,Maputo,Mozambique,21.10
1955,Maputo,Mozambique,20.68
1956,Maputo,Mozambique,21.12
1957,Maputo,Mozambique,21.69
1958,Maputo,Mozambique,21.61
1959,Maputo,Mozambique,21.18
1960,Maputo,Mozambique,21.09
1961,Maputo,Mozambique,21.53
1962,Maputo,Mozambique,21.79
1963,Maputo,Mozambique,21.14
1964,Maputo,Mozambique,21.14
1965,Maputo,Mozambique,21.09
1966,Maputo,Mozambique,21.45
1967,Maputo,Mozambique,21.24
1968,Maputo,Mozambique,21.02
1969,Maputo,Mozambique,21.80
1970,Maputo,Mozambique,21.85
1971,Maputo,Mozambique,21.14
1972,Maputo,Mozambique,21.08
1973,Maputo,Mozambique,21.23
1974,Maputo,Mozambique,21.40
1975,Maputo,Mozambique,21.03
1976,Maputo,Mozambique,21.22
1977,Maputo,Mozambique,21.82
1978,Maputo,Mozambique,21.51
1979,Maputo,Mozambique,21.63
1980,Maputo,Mozambique,21.44
1981,Maputo,Mozambique,21.01
1982,Maputo,Mozambique,21.63
1983,Maputo,Mozambique,22.17
1984,Maputo,Mozambique,21.31
1985,Maputo,Mozambique,21.97
1986,Maputo,Mozambique,21.79
1987,Maputo,Mozambique,21.99
1988,Maputo,Mozambique,21.80
1989,Maputo,Mozambique,21.66
1990,Maputo,Mozambique,21.51
1991,Maputo,Mozambique,21.77
